[2025-12-07 19:52:47] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 19:53:23] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 19:53:23] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 20:06:04] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 20:06:04] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 20:24:49] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 20:24:49] [ERROR] [defensiq.error] Filter loop error: [WinError 5] Access is denied. | {'exception': '[WinError 5] Access is denied.'}
[2025-12-07 20:31:16] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:19] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:22] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:25] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:28] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:31] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:34] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:37] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:40] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:43] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:46] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:46] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
[2025-12-07 20:31:47] [ERROR] [defensiq.error] Error getting running processes: invalid attr name 'connections' | {}
